address,available_bike_stands,available_bikes,banking,bike_stands,bonus,contract_name,last_update,name,number,position,status,scrape_datetime
Custom House,0,30,True,30,False,Dublin,2018-03-02 23:26:24,CUSTOM HOUSE,23,"{'lat': 53.348279, 'lng': -6.254662}",CLOSED,02-03-2018 23:27:02
Hanover Quay,29,11,True,40,False,Dublin,2018-03-02 23:18:29,HANOVER QUAY,68,"{'lat': 53.344115, 'lng': -6.237153}",CLOSED,02-03-2018 23:27:02
Oliver Bond Street,2,28,False,30,False,Dublin,2018-03-02 23:16:48,OLIVER BOND STREET,74,"{'lat': 53.343893, 'lng': -6.280531}",CLOSED,02-03-2018 23:27:02
Collins Barracks Museum,26,12,True,38,False,Dublin,2018-03-02 23:18:37,COLLINS BARRACKS MUSEUM,87,"{'lat': 53.347477, 'lng': -6.28525}",CLOSED,02-03-2018 23:27:02
Brookfield Road,1,29,False,30,False,Dublin,2018-03-02 23:23:53,BROOKFIELD ROAD,84,"{'lat': 53.339005, 'lng': -6.300217}",CLOSED,02-03-2018 23:27:02
Benson Street,31,9,False,40,False,Dublin,2018-03-02 23:17:16,BENSON STREET,90,"{'lat': 53.344153, 'lng': -6.233451}",CLOSED,02-03-2018 23:27:02
Earlsfort Terrace,26,4,False,30,False,Dublin,2018-03-02 23:17:06,EARLSFORT TERRACE,11,"{'lat': 53.334019, 'lng': -6.258371}",CLOSED,02-03-2018 23:27:02
Golden Lane,10,10,False,20,False,Dublin,2018-03-02 23:22:42,GOLDEN LANE,17,"{'lat': 53.340803, 'lng': -6.267732}",CLOSED,02-03-2018 23:27:02
Deverell Place,2,28,False,30,False,Dublin,2018-03-02 23:24:40,DEVERELL PLACE,45,"{'lat': 53.351464, 'lng': -6.255265}",CLOSED,02-03-2018 23:27:02
John Street West,22,9,False,31,False,Dublin,2018-03-02 23:19:22,JOHN STREET WEST,72,"{'lat': 53.343105, 'lng': -6.277167}",CLOSED,02-03-2018 23:27:02
Fenian Street,15,20,False,35,False,Dublin,2018-03-02 23:24:48,FENIAN STREET,63,"{'lat': 53.341428, 'lng': -6.24672}",CLOSED,02-03-2018 23:27:02
South Dock Road,2,28,False,30,False,Dublin,2018-03-02 23:23:05,SOUTH DOCK ROAD,91,"{'lat': 53.341833, 'lng': -6.231291}",CLOSED,02-03-2018 23:27:02
City Quay,12,18,False,30,False,Dublin,2018-03-02 23:20:42,CITY QUAY,99,"{'lat': 53.346637, 'lng': -6.246154}",CLOSED,02-03-2018 23:27:02
Exchequer Street,17,7,False,24,False,Dublin,2018-03-02 23:26:30,EXCHEQUER STREET,9,"{'lat': 53.343034, 'lng': -6.263578}",CLOSED,02-03-2018 23:27:02
The Point,22,18,True,40,False,Dublin,2018-03-02 23:20:01,THE POINT,67,"{'lat': 53.346867, 'lng': -6.230852}",CLOSED,02-03-2018 23:27:02
Hatch Street,35,1,False,36,False,Dublin,2018-03-02 23:19:46,HATCH STREET,55,"{'lat': 53.33403, 'lng': -6.260714}",CLOSED,02-03-2018 23:27:02
Lime Street,35,5,False,40,False,Dublin,2018-03-02 23:16:51,LIME STREET,62,"{'lat': 53.346026, 'lng': -6.243576}",CLOSED,02-03-2018 23:27:02
Charlemont Street,2,38,False,40,False,Dublin,2018-03-02 23:17:17,CHARLEMONT PLACE,5,"{'lat': 53.330662, 'lng': -6.260177}",CLOSED,02-03-2018 23:27:02
Kilmainham Gaol,12,28,True,40,False,Dublin,2018-03-02 23:24:49,KILMAINHAM GAOL,97,"{'lat': 53.342113, 'lng': -6.310015}",CLOSED,02-03-2018 23:27:02
Hardwicke Place,21,4,True,25,False,Dublin,2018-03-02 23:22:51,HARDWICKE PLACE,61,"{'lat': 53.357043, 'lng': -6.263232}",CLOSED,02-03-2018 23:27:02
Wolfe Tone Street,29,0,False,29,False,Dublin,2018-03-02 23:24:19,WOLFE TONE STREET,77,"{'lat': 53.348875, 'lng': -6.267459}",CLOSED,02-03-2018 23:27:02
Francis Street,12,18,True,30,False,Dublin,2018-03-02 23:24:16,FRANCIS STREET,73,"{'lat': 53.342081, 'lng': -6.275233}",CLOSED,02-03-2018 23:27:02
Greek Street,18,2,False,20,False,Dublin,2018-03-02 23:23:55,GREEK STREET,4,"{'lat': 53.346874, 'lng': -6.272976}",CLOSED,02-03-2018 23:27:02
Guild Street,21,19,False,40,False,Dublin,2018-03-02 23:16:45,GUILD STREET,49,"{'lat': 53.347932, 'lng': -6.240928}",CLOSED,02-03-2018 23:27:02
Herbert Place,19,11,False,30,False,Dublin,2018-03-02 23:22:02,HERBERT PLACE,19,"{'lat': 53.334432, 'lng': -6.245575}",CLOSED,02-03-2018 23:27:02
High Street,9,20,True,29,False,Dublin,2018-03-02 23:25:31,HIGH STREET,7,"{'lat': 53.343565, 'lng': -6.275071}",CLOSED,02-03-2018 23:27:02
North Circular Road,17,13,True,30,False,Dublin,2018-03-02 23:17:37,NORTH CIRCULAR ROAD,60,"{'lat': 53.359624, 'lng': -6.260348}",CLOSED,02-03-2018 23:27:02
Western Way,40,0,False,40,False,Dublin,2018-03-02 23:23:33,WESTERN WAY,102,"{'lat': 53.354929, 'lng': -6.269425}",CLOSED,02-03-2018 23:27:02
Talbot Street,0,40,False,40,False,Dublin,2018-03-02 23:19:57,TALBOT STREET,38,"{'lat': 53.350974, 'lng': -6.25294}",CLOSED,02-03-2018 23:27:02
Newman House,32,8,False,40,False,Dublin,2018-03-02 23:22:25,NEWMAN HOUSE,53,"{'lat': 53.337132, 'lng': -6.26059}",CLOSED,02-03-2018 23:27:02
Sir Patrick's Dun,29,11,True,40,False,Dublin,2018-03-02 23:21:04,SIR PATRICK DUN'S,58,"{'lat': 53.339218, 'lng': -6.240642}",CLOSED,02-03-2018 23:27:02
New Central Bank,31,9,False,40,False,Dublin,2018-03-02 23:17:52,NEW CENTRAL BANK,66,"{'lat': 53.347122, 'lng': -6.234749}",CLOSED,02-03-2018 23:27:02
King Street North,23,7,False,30,False,Dublin,2018-03-02 23:17:13,KING STREET NORTH,101,"{'lat': 53.350291, 'lng': -6.273507}",CLOSED,02-03-2018 23:27:02
Herbert Street,38,2,False,40,False,Dublin,2018-03-02 23:26:20,HERBERT STREET,47,"{'lat': 53.335742, 'lng': -6.24551}",CLOSED,02-03-2018 23:27:02
Custom House Quay,22,8,False,30,False,Dublin,2018-03-02 23:23:21,CUSTOM HOUSE QUAY,8,"{'lat': 53.347884, 'lng': -6.248048}",CLOSED,02-03-2018 23:27:02
Molesworth Street,18,2,False,20,False,Dublin,2018-03-02 23:17:52,MOLESWORTH STREET,27,"{'lat': 53.341288, 'lng': -6.258117}",CLOSED,02-03-2018 23:27:02
Georges Quay,0,20,False,20,False,Dublin,2018-03-02 23:23:31,GEORGES QUAY,16,"{'lat': 53.347508, 'lng': -6.252192}",CLOSED,02-03-2018 23:27:02
Kilmainham Lane,27,3,False,30,False,Dublin,2018-03-02 23:19:36,KILMAINHAM LANE,96,"{'lat': 53.341805, 'lng': -6.305085}",CLOSED,02-03-2018 23:27:02
Mount Brown,2,20,False,22,False,Dublin,2018-03-02 23:19:24,MOUNT BROWN,82,"{'lat': 53.341645, 'lng': -6.29719}",CLOSED,02-03-2018 23:27:02
Market Street South,13,25,False,38,False,Dublin,2018-03-02 23:19:55,MARKET STREET SOUTH,76,"{'lat': 53.342296, 'lng': -6.287661}",CLOSED,02-03-2018 23:27:02
Kevin Street,31,9,True,40,False,Dublin,2018-03-02 23:22:12,KEVIN STREET,71,"{'lat': 53.337757, 'lng': -6.267699}",CLOSED,02-03-2018 23:27:02
Eccles Street East,18,9,False,27,False,Dublin,2018-03-02 23:21:42,ECCLES STREET EAST,79,"{'lat': 53.358115, 'lng': -6.265601}",CLOSED,02-03-2018 23:27:02
